iteration,train_loss,train_perplexity
1,23.763576,485165195.409790
20,22.350254,485165195.409790
40,19.102596,197766140.257807
60,16.916274,22214902.067903
80,15.708579,6639710.653389
100,14.979540,3202813.761536
120,14.895110,2943500.679380
140,14.942285,3085687.535456
160,15.088606,3571893.787252
180,15.035700,3387830.055725
200,14.857982,2836216.594584
220,14.925502,3034331.826707
240,14.983618,3215899.971607
260,15.005143,3285872.876683
280,14.746016,2535791.481674
300,14.503796,1990300.762760
320,14.264861,1567293.197275
340,14.248550,1541936.615620
360,14.555296,2095486.383518
380,14.936829,3068898.707683
400,15.702809,6601509.208221
420,16.161592,10444566.613016
440,16.387356,13089957.480671
460,16.719887,18253866.140813
480,16.977762,23623719.188062
500,17.321707,33321284.519037
520,17.795335,53507644.516442
540,18.230634,82692046.984521
560,18.748403,138780312.688807
580,19.218411,222049556.032705
600,19.658167,344693658.151195
620,20.194184,485165195.409790
640,20.729447,485165195.409790
660,21.337417,485165195.409790
680,22.172401,485165195.409790
700,23.000571,485165195.409790
720,23.791590,485165195.409790
740,24.491253,485165195.409790
760,25.021613,485165195.409790
780,25.480449,485165195.409790
800,25.814091,485165195.409790
820,26.404933,485165195.409790
840,27.270395,485165195.409790
860,28.062476,485165195.409790
880,28.801990,485165195.409790
900,29.547613,485165195.409790
920,30.283303,485165195.409790
940,30.973928,485165195.409790
960,31.609444,485165195.409790
980,32.204169,485165195.409790
1000,32.802747,485165195.409790
1020,33.341070,485165195.409790
1040,33.861882,485165195.409790
1060,34.354399,485165195.409790
1080,34.845681,485165195.409790
1100,35.316861,485165195.409790
1120,35.778846,485165195.409790
1140,36.304882,485165195.409790
1160,36.787998,485165195.409790
1180,37.218843,485165195.409790
1200,37.639214,485165195.409790
1220,38.021509,485165195.409790
1240,38.385824,485165195.409790
1260,38.740987,485165195.409790
1280,39.065108,485165195.409790
1300,39.227059,485165195.409790
1320,39.289139,485165195.409790
1340,39.349013,485165195.409790
1360,39.400576,485165195.409790
1380,39.400601,485165195.409790
1400,39.402856,485165195.409790
1420,39.377742,485165195.409790
1440,39.304883,485165195.409790
1460,39.177122,485165195.409790
1480,39.031732,485165195.409790
1500,38.887177,485165195.409790
